Majority protein IDs	Protein names	Gene names	L3_4 old L OAF	L3_4 old A OAF	L3_4 old P OAF	L3_4 old R OAF	L3_4 old L IAF	L3_4 old R IAF	L3_4 old L IAF_NP	L3_4 old A IAF_NP	L3_4 old P IAF_NP	L3_4 old R IAF_NP	L3_4 old NP	L3_4 Young L OAF	L3_4 young A OAF	L3_4 young P OAF	L3_4 young R OAF	L3_4 young L IAF	L3_4 young R IAF	L3_4 young L IAF_NP	L3_4 young A IAF_NP	L3_4 young P IAF_NP	L3_4 young R IAF_NP	L3_4 young NP	L4_5 old L OAF	L4_5 old A OAF	L4_5 old P OAF	L4_5 old R OAF	L4_5 old L IAF	L4_5 old R IAF	L4_5 old L IAF_NP	L4_5 old A IAF_NP	L4_5 old P IAF_NP	L4_5 old R IAF_NP	L4_5 old NP	L4_5 young L OAF	L4_5 young A OAF	L4_5 young P OAF	L4_5 young R OAF	L4_5 young L IAF	L4_5 young R IAF	L4_5 young L IAF_NP	L4_5 young A IAF_NP	L4_5 young P IAF_NP	L4_5 young R IAF_NP	L4_5 young NP	L5_S1 old L OAF	L5_S1 old A OAF	L5_S1 old P OAF	L5_S1 old R OAF	L5_S1 old L IAF	L5_S1 old R IAF	L5_S1 old L IAF_NP	L5_S1 old A IAF_NP	L5_S1 old P IAF_NP	L5_S1 old R IAF_NP	L5_S1 old NP	L5_S1 young L OAF	L5_S1 young A OAF	L5_S1 young P OAF	L5_S1 young R OAF	L5_S1 young L IAF	L5_S1 young R IAF	L5_S1 young L IAF_NP	L5_S1 young A IAF_NP	L5_S1 young P IAF_NP	L5_S1 young R IAF_NP	L5_S1 young NP
P78347	General transcription factor II-I	GTF2I	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.5309	NaN	NaN	NaN	NaN
Q9UKN8	General transcription factor 3C polypeptide 4	GTF3C4	NaN	NaN	28.614	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.5657	27.5021	NaN	NaN	28.169	27.7806	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.6388	NaN	NaN	26.4071	NaN	NaN	27.5586	30.5707	27.309	27.9889	27.7073	NaN	28.4587	NaN	NaN	24.673	NaN	NaN	NaN	NaN	25.8655	NaN	NaN	27.371	NaN	NaN	NaN	27.0424	NaN	27.7854	NaN	NaN	30.0592	27.6763	27.534
O00178	GTP-binding protein 1	GTPBP1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.4287	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q16774	Guanylate kinase	GUK1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.7238	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P08236	Beta-glucuronidase	GUSB	24.283	24.5309	NaN	24.5691	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P46976	Glycogenin-1	GYG1	26.6295	NaN	25.003	26.2239	23.3151	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.0736	25.8456	25.4199	NaN	NaN	NaN	25.4611	NaN	NaN	23.7064	NaN	25.3091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.8824	25.597	NaN	NaN	25.081	NaN	NaN	NaN	NaN	NaN	NaN	25.4877	24.9484	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.726	NaN	NaN	24.0537
P13807	Glycogen [starch] synthase, muscle	GYS1	26.107	NaN	NaN	25.482	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P07305	Histone H1.0;Histone H1.0, N-terminally processed	H1F0	27.7502	27.5048	26.4911	29.5228	27.3524	25.3584	NaN	NaN	NaN	24.4478	NaN	28.3216	29.6988	NaN	28.6305	29.3006	NaN	27.3551	27.6378	27.9178	26.2683	27.2387	27.9936	27.3371	26.7856	28.2478	25.3906	NaN	23.8293	NaN	NaN	NaN	NaN	29.0568	28.3738	28.6747	30.3907	25.0666	NaN	NaN	28.2112	27.4998	28.8989	28.2707	27.3549	27.5207	28.2067	27.9896	27.6842	NaN	NaN	26.9045	NaN	NaN	28.2271	29.3521	28.8752	29.1988	NaN	27.9649	28.4001	27.8669	28.0665	28.6189	27.9214	27.0303
Q92522	Histone H1x	H1FX	24.2746	26.2413	NaN	25.7661	25.3383	NaN	NaN	NaN	NaN	NaN	NaN	24.3129	25.9829	26.8488	27.694	NaN	24.0616	NaN	26.3525	25.2669	NaN	25.8955	25.894	26.2	NaN	25.4675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.2268	NaN	26.3095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.8243	26.8711	25.9465	27.2321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.2744	27.2003	27.6665	26.7936	NaN	NaN	NaN	25.2964	NaN	NaN	NaN
Q71UI9;P0C0S5	Histone H2A.V;Histone H2A.Z	H2AFV;H2AFZ	28.1454	28.4078	27.2219	29.1551	NaN	26.7953	NaN	NaN	NaN	NaN	NaN	28.9342	28.8199	28.8515	28.6585	27.9392	26.9218	NaN	NaN	NaN	NaN	NaN	28.6079	27.5463	NaN	28.4792	27.961	NaN	NaN	NaN	NaN	NaN	NaN	29.4633	28.8281	NaN	28.0926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.2223	28.7736	NaN	29.6572	28.3517	NaN	NaN	27.4614	NaN	NaN	NaN	28.6476	28.4259	NaN	28.7857	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O75367	Core histone macro-H2A.1	H2AFY	26.2687	27.0272	NaN	26.1791	25.9066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.655	25.2176	25.754	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.9775	24.6146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.8458	25.8119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.3991	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.1964	26.073	25.1203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9P0M6	Core histone macro-H2A.2	H2AFY2	24.7256	24.84	NaN	24.2171	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.2167	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P84243	Histone H3.3	H3F3A	30.5153	31.2274	NaN	26.0628	28.6541	27.5486	26.7136	NaN	NaN	NaN	26.7465	NaN	28.2204	27.4023	24.8783	NaN	NaN	29.2799	30.2078	29.2948	29.6232	NaN	31.4783	31.6063	28.1079	30.0312	27.8312	NaN	NaN	28.4544	27.6382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.8988	28.205	28.0643	26.7135	27.2493	NaN	NaN	27.0589	NaN	NaN	NaN	28.8977	NaN	NaN	NaN	27.4841	27.1664	NaN	NaN	29.5729	29.1686	NaN	29.6121	29.2382	30.7186	28.8422
O95479	GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase	H6PD	23.9498	24.0841	NaN	24.5918	NaN	NaN	NaN	NaN	NaN	NaN	23.6823	NaN	NaN	NaN	NaN	NaN	25.2504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.2295	24.9931	NaN	NaN	NaN	26.4303	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q14520	Hyaluronan-binding protein 2;Hyaluronan-binding protein 2 50 kDa heavy chain;Hyaluronan-binding protein 2 50 kDa heavy chain alternate form;Hyaluronan-binding protein 2 27 kDa light chain;Hyaluronan-binding protein 2 27 kDa light chain alternate form	HABP2	25.8169	26.1017	28.5271	26.1771	28.6204	28.3432	28.4691	29.0229	28.9445	29.2049	29.0598	28.0598	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.557	25.7476	26.2986	NaN	26.4327	NaN	27.7859	27.3312	27.8184	28.2971	28.2783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.284	24.8974	24.7468	25.4272	NaN	24.9023	NaN	NaN	NaN	25.1165	24.1599	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9P035	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	HACD3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.1068	NaN	NaN	26.9567	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.5553	29.3047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.5953	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q16836	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	HADH	27.9653	26.4868	NaN	28.8322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.3825	NaN	NaN	NaN	NaN	NaN	NaN	26.0165	25.3646	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.3188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.6054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P40939	Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase	HADHA	31.243	29.7318	26.1455	31.5265	26.5508	25.8561	24.1173	25.9415	27.3535	26.1189	26.1264	24.9022	24.9947	NaN	NaN	23.7039	NaN	NaN	26.2553	26.2393	NaN	25.1556	28.3979	24.791	25.5972	25.981	NaN	25.9605	NaN	NaN	NaN	25.937	26.3153	26.7099	25.6797	NaN	26.7249	NaN	NaN	NaN	NaN	29.0432	NaN	NaN	25.7296	26.0133	NaN	28.2263	26.7981	NaN	NaN	26.6388	26.3313	24.8529	25.2898	28.0212	26.3951	26.0838	NaN	NaN	25.9938	25.4077	NaN	NaN	NaN	25.7061
P55084	Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase	HADHB	30.1882	29.5466	NaN	30.4814	NaN	NaN	NaN	NaN	NaN	24.7356	NaN	24.9442	24.7745	25.9495	NaN	24.6865	NaN	NaN	25.9358	25.2941	NaN	NaN	28.1227	23.9325	24.1509	23.84	NaN	NaN	NaN	NaN	25.2698	NaN	NaN	26.4398	24.6493	NaN	26.0016	25.4354	NaN	25.1674	NaN	26.426	NaN	25.2215	NaN	NaN	NaN	28.4329	NaN	23.1933	NaN	NaN	NaN	NaN	NaN	26.3785	25.7719	24.6599	24.338	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q16775	Hydroxyacylglutathione hydrolase, mitochondrial	HAGH	25.8538	24.6907	NaN	26.7669	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.8776	NaN	25.2409	25.2818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P10915	Hyaluronan and proteoglycan link protein 1	HAPLN1	33.5977	31.2732	34.7926	30.6919	35.6098	34.7146	33.3998	34.2332	33.4025	34.3972	33.0537	36.5281	36.7997	37.1092	36.5583	36.8157	36.7319	35.7959	35.7188	36.0083	36.1257	35.7211	35.1317	35.8025	35.3188	35.5872	35.0389	34.7839	33.8181	34.3879	33.1595	34.6391	32.3504	34.9322	36.5887	35.9518	35.5496	36.1222	35.3302	35.3911	35.6859	35.9568	35.6454	35.3475	36.8641	36.8503	35.7752	34.2993	35.6223	35.7405	35.2133	36.2197	34.4422	35.5165	35.7941	36.1549	36.6792	36.4673	36.6295	36.0161	36.0603	35.5242	35.5529	36.5021	36.4322	35.9066
Q96S86	Hyaluronan and proteoglycan link protein 3	HAPLN3	29.7972	29.3778	28.909	27.978	29.1709	28.7933	NaN	29.3568	30.2931	28.6048	27.1328	31.4118	31.9343	31.5237	31.6284	31.9281	30.8829	31.1312	30.2473	31.1849	30.744	30.7015	30.1526	29.7841	29.7122	30.8065	28.7992	30.4631	26.9428	29.3783	NaN	NaN	27.1291	31.1261	32.252	30.6389	31.8554	30.5115	NaN	30.8088	30.5147	31.3541	30.8862	31.1455	30.9025	31.2301	29.7502	29.631	29.8032	30.2387	29.0691	29.7876	NaN	28.6819	28.9314	31.7775	31.8886	31.3119	30.8613	30.0268	30.8095	30.1099	30.1353	31.6065	31.4679	30.5395
P12081	Histidine--tRNA ligase, cytoplasmic	HARS	25.1085	26.3193	NaN	NaN	NaN	NaN	24.3521	NaN	NaN	NaN	24.2782	NaN	NaN	NaN	NaN	24.8044	NaN	NaN	NaN	NaN	NaN	24.9375	24.221	25.1073	NaN	25.2432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.0586	NaN	24.751	NaN	NaN	NaN	NaN	NaN	NaN	24.8966	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P69905	Hemoglobin subunit alpha	HBA1	35.4839	36.0184	34.2752	34.4089	33.2336	32.3015	31.3543	31.3857	30.7759	32.0369	31.8448	32.205	34.5991	34.521	32.1866	32.4233	30.7092	31.2902	32.1901	29.9942	30.8789	30.9805	36.4353	35.7811	35.5305	34.0772	34.9846	32.9766	33.64	33.186	33.3922	32.1898	33.8992	33.8261	34.5555	33.4069	33.8382	33.7482	33.496	33.3685	32.8222	33.5942	32.4151	31.8295	35.0444	34.1914	33.7544	34.7553	32.955	30.9681	33.0936	29.3188	32.0498	26.6016	30.5347	35.3508	33.8828	33.4285	36.175	33.2101	33.3559	31.3102	30.6366	30.9012	31.4134	31.7502
P68871	Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin	HBB	36.4853	37.0485	36.5782	36.3864	33.7113	34.0511	32.6731	34.1468	32.9471	33.5719	33.2839	34.2239	35.8961	37.2993	34.774	34.0734	33.1016	34.1948	33.3195	32.4384	32.0817	33.3499	37.6187	36.6544	36.6341	35.3693	35.3124	34.398	34.2006	34.2667	34.6727	34.337	35.1344	35.6804	35.0278	36.367	35.8708	35.17	34.9573	35.1343	34.7537	34.8471	35.3917	34.1589	36.6457	35.5248	35.453	36.3987	34.5357	33.5698	34.8791	30.48	32.9398	29.5202	31.8257	36.6905	35.4765	35.3961	37.7213	34.2199	34.1205	33.5089	32.5758	33.0217	33.3388	33.3717
P02042	Hemoglobin subunit delta	HBD	31.3987	32.5931	30.8369	31.6688	28.7479	28.05	28.1658	28.709	27.0058	28.2703	27.4874	28.5289	30.0418	32.2332	29.5508	28.1532	27.6695	29.4345	29.1267	26.5347	NaN	28.2178	33.2338	31.7004	32.05	30.7676	30.0093	28.4588	29.0487	29.0522	29.3039	28.5916	29.4905	31.1037	29.3669	31.6358	31.6751	29.5128	30.5948	30.2602	30.4054	30.6184	30.4843	30.3672	31.7787	29.9632	30.045	31.8246	29.7112	28.4426	28.9799	25.8366	27.9643	NaN	26.7959	32.564	30.4465	30.3789	33.5541	30.0569	27.4438	27.0653	29.5988	27.4328	27.6027	28.3692
P69891	Hemoglobin subunit gamma-1	HBG1	26.6839	28.1467	27.8714	27.6622	24.1467	27.118	NaN	NaN	NaN	NaN	NaN	25.9267	27.6181	29.2254	NaN	NaN	NaN	25.7522	NaN	NaN	NaN	NaN	28.3362	26.4957	28.4519	27.0926	25.9177	NaN	25.693	NaN	27.12	NaN	26.7259	29.1065	27.024	NaN	29.016	NaN	27.7274	27.2388	NaN	NaN	NaN	NaN	27.9649	26.2439	NaN	28.6839	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.9557	28.3256	NaN	31.8696	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P69892	Hemoglobin subunit gamma-2	HBG2	NaN	20.8073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P51610	Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6	HCFC1	NaN	NaN	NaN	23.7409	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P14317	Hematopoietic lineage cell-specific protein	HCLS1	NaN	23.9977	NaN	24.2834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q7Z4H3	HD domain-containing protein 2	HDDC2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.8737	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P51858	Hepatoma-derived growth factor	HDGF	28.0471	28.8378	25.3516	28.4445	23.3847	23.0365	25.0826	NaN	NaN	NaN	NaN	26.8576	27.2662	26.6202	25.8621	25.2567	24.3715	26.0034	NaN	NaN	NaN	25.9078	27.82	NaN	24.5648	26.1434	24.2804	NaN	NaN	NaN	NaN	NaN	NaN	27.4886	25.9335	25.2748	27.309	24.5625	26.5983	NaN	NaN	NaN	NaN	25.3413	26.773	26.6684	25.2399	29.0201	NaN	NaN	25.7576	NaN	NaN	NaN	NaN	27.7001	27.3874	27.4522	28.236	NaN	NaN	25.1832	26.0792	NaN	NaN	NaN
Q7Z4V5	Hepatoma-derived growth factor-related protein 2	HDGFRP2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.3214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9Y3E1	Hepatoma-derived growth factor-related protein 3	HDGFRP3	NaN	NaN	NaN	26.2243	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9H0R4	Haloacid dehalogenase-like hydrolase domain-containing protein 2	HDHD2	23.5923	23.4711	NaN	23.8042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q00341	Vigilin	HDLBP	25.25	27.2225	NaN	24.6946	23.3648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.3012	NaN	NaN	25.793	NaN	NaN	26.8797	NaN	24.4299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.3402	NaN	24.7933	NaN	NaN	NaN	NaN	26.0497	NaN	NaN	NaN	NaN	25.3611	NaN	NaN	25.0589	NaN	25.6267	NaN	NaN	NaN	NaN	NaN	26.2559	NaN	NaN
Q9NRV9	Heme-binding protein 1	HEBP1	24.6503	25.0912	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.9043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9Y5Z4	Heme-binding protein 2	HEBP2	27.3474	26.8458	NaN	28.3132	24.1289	NaN	NaN	NaN	NaN	NaN	NaN	25.2635	26.1194	26.167	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.6614	24.9035	25.1225	27.1782	24.6188	NaN	NaN	NaN	NaN	NaN	NaN	26.4322	25.1255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.8569	NaN	NaN	25.4864	NaN	NaN	NaN	NaN	25.3748	25.7078	NaN	26.738	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P06865	Beta-hexosaminidase subunit alpha	HEXA	24.8044	25.5488	24.6421	NaN	25.4622	25.1583	26.6475	26.2845	24.8105	26.272	26.0685	24.4259	24.981	NaN	NaN	26.4096	25.6452	26.5515	26.1028	26.0402	26.3609	25.5711	25.4147	25.9559	25.6389	26.7037	27.1915	26.3691	25.3836	26.2382	NaN	26.2867	26.7102	NaN	NaN	NaN	NaN	24.7864	NaN	NaN	27.48	NaN	27.5678	26.7016	25.2468	24.3796	NaN	NaN	25.4475	27.2479	26.982	26.898	26.7066	26.2241	27.0219	NaN	NaN	NaN	NaN	25.6264	26.0317	25.5628	NaN	27.421	27.1681	26.4834
P07686	Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A	HEXB	27.4966	29.2454	24.7822	26.4696	25.1001	24.6543	25.3836	NaN	25.6568	NaN	25.2029	25.7473	26.2516	25.9136	NaN	24.7617	NaN	NaN	NaN	NaN	NaN	NaN	26.6258	25.6501	25.8454	NaN	25.741	NaN	24.4413	25.5864	24.5343	NaN	NaN	26.0967	26.5992	NaN	NaN	NaN	NaN	24.0691	NaN	NaN	NaN	NaN	NaN	27.8623	24.8017	26.9822	NaN	NaN	NaN	26.7682	NaN	NaN	NaN	24.0999	26.4663	26.435	NaN	NaN	NaN	NaN	NaN	NaN	27.1644	NaN
P14210	Hepatocyte growth factor;Hepatocyte growth factor alpha chain;Hepatocyte growth factor beta chain	HGF	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.2793	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
